id,texte,toxique,obscene,menace,insulte,racisme
a,C’est pas classe c’est pas élégant c’est juste VULGAIRE RIDICULE ET MOCHE!!!,1,0,0,1,0
b,rhabille toi c'est pas la mode ça,1,0,0,0,0
c,"Cochonne!!! Bloque moi si tu veux après, mais sache le, tu es habillée comme une cochonne. Ya 20 ans, une fille habillé comme toi dans la rue, on appelait ça une p**e",1,1,0,1,0
d,sale pute,1,1,0,1,0
e,Tu prends cmb pour 1h? S'il te plaît va t'habiller c'est juste moche,1,0,0,1,0
f,Aucune dignité ptite pu*e ! Tu défile a poil pour créer le buzz ton manque de confiance en toi te pousse a en faire toujours plus c’est ridicule,1,1,0,1,0
g,Mon dieu il manquait plus qu'elle 🤮,1,0,0,1,0
h,Aucune star ici je vois juste deux trash,1,0,0,1,0
i,La mère de Paris? Tu te prends pour qui enft,1,0,0,0,0
j,On s’en fous si tu veux raconter ta vie tu prend ton carnet secret et tu écrit jusqu’à l’épuisement.,1,0,0,0,0
k,ftg,1,0,0,1,0
l,Mais wsh c’est normal frérot tu fait 1tonne,1,0,0,1,0
m,Pour le même prix il a un abonnement de 1 mois dans une salle mais il viens se plaindre en vidéo,1,0,0,0,0
n,"Juste ferme ta gueule, si c'est pour raconter ce genre de connerie. 
Va aux Etats-Unis, ou renseigne toi juste 30s (tu vas voir c'est pas si long) et vient me dire que ça arrange les choses, et que c'est quelque chose de ""sain"".
Putain, ça me met tellement hors de moi, ça...",1,0,0,0,0
o,En regardant la vidéo j'avais envie de la frapper c'est une AW,1,0,1,0,0
p,T'es tellement détestable,1,0,0,0,0
q,Ferme ta gueule tu sers à rien,1,0,0,1,0
r,Mange les mes couilles Ultia,1,1,0,0,0
s,Retourne sucer t coréen gays qui danse et arrête de l’ouvrir,1,1,0,1,0
t,Va te faire foutre p’tit enculé de tes morts elle n’as pas fais exprès c’est un sport à risque et à accident donc retourne sous la jupe de ta mère et va pleure t’es grands morts,1,1,0,1,0
u,"Faut retourner à la cuisine Manon, tu fais du mal aux autres quand tu en sors",1,0,0,0,0
v,"Manon follasse féministe qui se fait défendre par squeezie aka le plus gros gobeur de chatte il nous fait le mâle alpha protecteur alors qu'il met du vernis sur ses doigts 
, qu'elle pine sa mams elle et toi avec, il a vrmnt lâché cassez vous des réseaux 😅😂😂 #manon #GPExplorer",1,1,0,1,0
